Country,Pollution,Population Density,GDP per Capita,Food Insecurity,"Travel (Arrival, Tourism)",Health Access,Cases,Recovered,Deaths,Literacy Rate
Greece,14.4089280374361,80.968828549263,23400.7278817691,6.4,7406000.0,77.0,5633376.0,5594369.0,39007.0,0.98
Greenland,6.55624754182179,0.138046047021562,20473.30811712618,32.90984848484849,10000.0,35.0,11971.0,11950.0,21.0,1.0
Grenada,24.6572416056476,343.861764705882,11246.3451228921,19.9,217000.0,70.0,19693.0,19455.0,238.0,0.99
Guam,9.57510553293178,305.888888888889,20473.30811712618,32.90984848484849,328000.0,35.0,52287.0,51868.0,419.0,1.0
Guatemala,21.6357355920496,166.553536767451,5762.82174615918,59.8,594000.0,59.0,1250355.0,1230140.0,20215.0,0.84
Guinea,43.7674450148382,57.1998087253785,1541.04050914957,32.90984848484849,10000.0,40.0,38572.0,38104.0,468.0,0.45
Guinea-Bissau,50.2127655060307,74.8765647226174,951.242748289294,62.5,10000.0,37.0,9614.0,9437.0,177.0,0.85
Guyana,25.460668047299,4.17392430784862,20765.3503593109,25.5,86400.0015258789,76.0,74125.0,72824.0,1301.0,0.9
Haiti,21.3502554448061,417.402249637155,1705.77905452248,82.8,10000.0,54.0,34298.0,33438.0,860.0,0.62
Honduras,20.3136833896573,93.5192778621861,3231.65724461936,56.0,669000.0,64.0,472789.0,461675.0,11114.0,0.89
Hungary,14.1364995764273,105.680221345606,22141.8669799276,15.0,31641000.0,79.0,2230381.0,2181330.0,49051.0,0.99
Iceland,5.10554827500189,3.78858474660319,79636.9548578508,7.0,488000.0,89.0,209938.0,209752.0,186.0,0.85
India,48.3948115195574,479.425536881262,2480.79208721621,32.90984848484849,10000.0,63.0,45037776.0,44504187.0,533589.0,0.74
Indonesia,17.8814994983985,147.330175215419,4876.31432703188,4.9,4053000.0,55.0,6828993.0,6666935.0,162058.0,0.96
Iraq,38.1750699787954,101.515108447278,5565.12644647176,32.90984848484849,10000.0,59.0,2465545.0,2440170.0,25375.0,0.85
Isle of Man,23.410356664507074,147.6,20473.30811712618,32.90984848484849,10000.0,35.0,38008.0,37892.0,116.0,0.85
Israel,18.5982756348314,321.08254784361867,52642.4267486308,32.90984848484849,10000.0,85.0,4841558.0,4828851.0,12707.0,0.92
