Country,Impact_Day_0,Impact_Day_30,Impact_Day_90,Impact_Day_180,Impact_Day_365
Norway,37.49849921933931,36.88712429993896,35.69411548565801,33.976556577667196,30.701174505143786
Oman,48.87161444145154,48.07481243704765,46.51996976305812,44.281483464158,40.01269369578639
Pakistan,64.62403055200583,63.57040141237131,61.51439811442752,58.5543975369211,52.909681200778245
Palau,39.445951499254974,38.80282534965991,37.547858649498224,35.741099798019235,32.29561357686257
Panama,41.65477353484814,40.97563478682663,39.65039476339867,37.74246434392683,34.104044105479005
Papua New Guinea,56.612241771528645,55.6892367054408,53.88812719877538,51.29509381929892,46.35018333903643
Paraguay,44.57388646197004,43.84715454441658,42.42904340549231,40.38740767738711,36.49401163062119
Peru,49.70913066861825,48.89867381331258,47.3171856931875,45.0403383002035,40.698393987169624
Philippines,52.39784216410975,51.54354860045392,49.87651954989273,47.47652001812348,42.8997247746828
Poland,43.736324365479064,43.0232480466801,41.63178381321667,39.628511280166535,35.80827378461156
Portugal,39.13824712249829,38.50013778004099,37.254960645896766,35.46229570228952,32.04368654075518
Puerto Rico,51.832746460136214,50.98766620761717,49.33861558738753,46.96449936242878,42.43706354340742
Qatar,52.93353708386426,52.070509558977804,50.38643745937899,47.96190127679586,43.33831467975346
Romania,43.83944183124767,43.124684286969405,41.729939387662554,39.721943723671515,35.89269922501578
Rwanda,61.48034408976988,60.477969562919384,58.52198215192739,55.70597311540399,50.33584841611074
Samoa,45.676750354294654,44.93203736183642,43.47883878283089,41.38668813434225,37.39696021572664
San Marino,38.52776832070163,37.89961221466749,36.673857366925056,34.909154430491284,31.54386877162206
Sao Tome and Principe,49.21977787079705,48.41729941552217,46.85137997716429,44.59694660806248,40.297745802488656
Saudi Arabia,50.93563834953256,50.10518453301047,48.48467526525078,46.151649645486266,41.702573544420524
Senegal,63.87442602362985,62.833018423994496,60.80086367541122,57.875197536935325,52.29595692075031
Serbia,46.33621064268785,45.58074582044823,44.10656661680171,41.984210442321995,37.93688063426782
Seychelles,38.97566805893311,38.34020940287533,37.10020469589189,35.3149864268101,31.910578061607747
Sierra Leone,67.46724469424042,66.36725983762429,64.2208001320058,61.13057066857101,55.23750805661194
Singapore,37.88591905170397,37.268227645678365,36.062893130783785,34.3275890757054,31.018367036253053
Slovenia,40.49763712752534,39.837364312607555,38.54893840073075,36.69400876757125,33.15666094329766
Solomon Islands,52.0122897736308,51.16428224985818,49.509519487542775,47.12717956766602,42.584061175674954
Somalia,72.74218257818698,71.55619522038339,69.24191420134318,65.91007462709632,59.55626192277508
South Africa,48.928886639229546,48.1311508698476,46.57448608995558,44.333376529444415,40.05958420540361
South Sudan,54.278728112953,53.39376861547808,51.66689947631756,49.18074896561302,44.43966394403303
Spain,41.16722577376742,40.496035996487144,39.18630722786834,37.30070815545167,33.7048737598879
Sri Lanka,48.826331542853495,48.03026783008945,46.476865824347676,44.24045363634495,39.97561919411566
Sudan,61.18884448651976,60.19122256444419,58.24450916716679,55.44185180472799,50.097188726419844
Suriname,48.69908274852155,47.90509369802395,46.35574009252232,44.125156332451,39.871436692904
Sweden,39.12043580435097,38.48261685733411,37.23800638745608,35.44615726284918,32.029103866835115
Switzerland,39.04362601194587,38.40705937053105,37.164892592034555,35.37656161737799,31.96621732765552
Tajikistan,54.64644686681714,53.75549208877938,52.016924035697784,49.513930754362875,44.74072659630512
Tanzania,59.61723892785335,58.64524043716202,56.748527421849104,54.01785494369451,48.81046692383135
Thailand,46.447314505088926,45.69003824728962,44.21232429185557,42.08487918228374,38.027844783201324
Timor-Leste,52.86606237969645,52.00413496128575,50.32220955871452,47.90076394726411,43.28307106439644
Togo,65.98477057885594,64.90895595602717,62.80966092962029,59.78733382696668,54.023760907704585
Tonga,42.68891339508961,41.992914047661024,40.63477302834918,38.679475483097804,34.95072621204246
Trinidad and Tobago,44.646258154857904,43.91834629040451,42.49793265753202,40.452982059541526,36.5532645612408
Tunisia,50.00052946698351,49.18532165042411,47.594562723675885,45.30436827381416,40.93697114480123
Turks and Caicos Islands,51.33829934357781,50.50128054877912,48.86796068526056,46.51649182132306,42.03224448331032
Tuvalu,42.40693286789888,41.715530926384474,40.366361072889866,38.42397919563692,34.71986008266227
Uganda,62.689666907991835,61.66757560164585,59.673113776704355,56.80171363860849,51.32595819778799
Ukraine,46.17861077562088,45.42571545904232,43.956550270208524,41.84141270610561,37.80784877641909
United Arab Emirates,44.366424964230454,43.643075495550946,42.23156471132299,40.19943142600686,36.32415652234217
United Kingdom,40.81716451645561,40.15168213220252,38.85309050704827,36.9835254318143,33.41826784306558
United States,42.102208921783756,41.41577519451456,40.07630008510854,38.147875601858665,34.47037321677854
Uruguay,40.20949255891929,39.553917648346335,38.27465901028823,36.43292737920619,32.92074812364749
Uzbekistan,47.96007606335491,47.17813576579372,45.6522935409492,43.45555880261469,39.266389193027855
Vanuatu,48.14463009426082,47.35968083079115,45.82796704867993,43.622779107513644,39.41748925373503
Zambia,56.55826420074423,55.636139184089686,53.83674696529072,51.24618594229418,46.30599024185879
Zimbabwe,53.16896208249619,52.30209619227353,50.61053408362589,48.175214634725926,43.53106436617677
